snapshot_t,lookbacktime,Rcenters,nparticles,amp1,amp2,phase1,phase2
620.0,5.9948320266449295,10.5,100.0,8.311636966906418e-14,1.4129141643513409e-14,2.030141129840237,0.8053476617991536
620.0,5.9948320266449295,11.5,108.0,7.901328981915129e-14,1.3550717593310362e-14,1.936043839735808,0.8511026737149227
620.0,5.9948320266449295,12.5,120.0,7.457792857547627e-14,1.1515459594636034e-14,1.876731754563867,0.8876693047924685
620.0,5.9948320266449295,13.5,124.0,6.844267839807948e-14,9.754548661310635e-15,1.798380460519379,0.6620796913365592
620.0,5.9948320266449295,14.5,156.0,7.714209370553809e-14,1.0756929901754328e-14,1.7505542386851483,0.7301452820590246
620.0,5.9948320266449295,15.5,132.0,5.828534386457424e-14,9.145650093052587e-15,1.6847884206464736,0.43421530953534476
620.0,5.9948320266449295,16.5,172.0,7.491896787960967e-14,8.793730264442751e-15,1.621904108515136,0.2689223521579177
620.0,5.9948320266449295,17.5,164.0,6.717282155613332e-14,8.626020345897392e-15,1.5768033693926369,0.07669524173342442
620.0,5.9948320266449295,18.5,188.0,6.978232225381489e-14,1.3870173873757997e-14,1.5367642268101884,-0.1452013719629968
620.0,5.9948320266449295,19.5,180.0,6.196432953921016e-14,2.218548316582966e-14,1.4708935028127283,-0.10967528713499591
620.0,5.9948320266449295,20.5,200.0,6.325888017279046e-14,2.376770331893604e-14,1.485240808092823,-0.16870029930962657
620.0,5.9948320266449295,21.5,204.0,5.870651405512525e-14,2.6191361557056344e-14,1.5034631183698228,-0.304424701415077
620.0,5.9948320266449295,22.5,196.0,5.1462889675429863e-14,2.6045647869841852e-14,1.576505516419818,-0.3417402985580746
620.0,5.9948320266449295,23.5,228.0,5.337838698436547e-14,3.3148878372233146e-14,1.56538056880936,-0.30197799886417753
620.0,5.9948320266449295,24.5,252.0,5.768256101312459e-14,2.838752868508569e-14,1.6654895105079648,-0.4239949475115182
620.0,5.9948320266449295,25.5,252.0,5.486154314347284e-14,2.3089330276394612e-14,1.7390820522524768,-0.41827001060397107
620.0,5.9948320266449295,26.5,244.0,5.296942438793275e-14,1.9650978547991086e-14,1.8299054364052438,-0.4991184635520256
620.0,5.9948320266449295,27.5,260.0,5.236502365622666e-14,2.003030956910548e-14,1.8323991361115053,-0.4249898601613183
620.0,5.9948320266449295,28.5,280.0,5.758015349380529e-14,1.5330020108940835e-14,1.9617781477356873,-0.4711552757116224
620.0,5.9948320266449295,29.5,300.0,6.33289764081233e-14,1.0794674709677425e-14,2.0747559731575813,-0.5854134860381262
620.0,5.9948320266449295,30.5,284.0,5.754489072617567e-14,5.843084199208982e-15,2.164754999012985,-0.6686543424152861
620.0,5.9948320266449295,31.5,292.0,4.980377668605225e-14,2.945536279959053e-15,2.2033030287776176,-0.4221355747636158
620.0,5.9948320266449295,32.5,316.0,5.6645622292638406e-14,4.446188647590637e-15,2.250694310458778,-3.095208418625885
620.0,5.9948320266449295,33.5,324.0,5.724278723341846e-14,8.631700254538274e-15,2.300130944358936,3.0370269096438216
620.0,5.9948320266449295,34.5,324.0,5.4812265165359784e-14,1.0859112506583324e-14,2.359211494734273,2.7943585135667424
620.0,5.9948320266449295,35.5,348.0,5.277510723491984e-14,1.4978445380127384e-14,2.442239264804506,2.8388253816846647
620.0,5.9948320266449295,36.5,352.0,5.334722372535845e-14,1.670499111529348e-14,2.4790099966111683,2.8365569111200832
620.0,5.9948320266449295,37.5,372.0,5.761848434683708e-14,2.003075950677871e-14,2.497530952584232,2.8009676199653124
620.0,5.9948320266449295,38.5,372.0,5.613306212184436e-14,2.391182933302312e-14,2.5122403100143638,2.8083690452761423
620.0,5.9948320266449295,39.5,340.0,4.89033958381841e-14,2.4533112011854e-14,2.5672597160211317,2.7834185079454543
622.0,5.957324003606695,0.5,4.0,3.3906435670618114e-15,7.374272867064642e-16,2.436772384759028,-1.5707963267948988
622.0,5.957324003606695,1.5,12.0,1.978525776250517e-14,3.581073902420735e-15,2.6542561890880934,-0.9008091868192569
622.0,5.957324003606695,2.5,28.0,5.580325612397607e-14,3.7748105383775375e-16,2.567720944471921,-0.4046902396690109
622.0,5.957324003606695,3.5,36.0,6.650890451555794e-14,6.785444054732507e-15,2.475846730718455,1.6636084934815714
622.0,5.957324003606695,4.5,40.0,7.406432923061874e-14,8.196459615768229e-15,2.351362087629871,1.7530757007568194
622.0,5.957324003606695,5.5,52.0,9.100055755334008e-14,7.175175575895309e-15,2.2820892119922553,2.146467801819304
622.0,5.957324003606695,6.5,68.0,9.654438125146533e-14,5.311044590992254e-15,2.1744650657316447,1.6474009094749502
622.0,5.957324003606695,7.5,68.0,7.737637768563045e-14,7.199298613417601e-15,2.095081916837073,0.8231330788127891
622.0,5.957324003606695,8.5,84.0,8.083725300394839e-14,1.110599538238573e-14,2.01658883205589,0.5554815516569722
622.0,5.957324003606695,9.5,92.0,7.549543499418631e-14,1.2960433662495946e-14,1.9970189671558591,0.6592187049533151
622.0,5.957324003606695,10.5,100.0,7.031614293660938e-14,1.3245998235722173e-14,1.9630734763042976,0.5547327370132111
622.0,5.957324003606695,11.5,108.0,6.913607066653281e-14,1.4098854351495722e-14,1.9077389884346605,0.7836599795362295
622.0,5.957324003606695,12.5,120.0,6.85399084101144e-14,1.2340054692823313e-14,1.8490229399721207,0.9472962371372925
622.0,5.957324003606695,13.5,124.0,6.297903789748033e-14,1.3411713680290806e-14,1.799548834659443,0.887191194475516
622.0,5.957324003606695,14.5,156.0,6.880608008493111e-14,1.9113626726412098e-14,1.7421839965899417,0.7047779834803856
622.0,5.957324003606695,15.5,132.0,5.1553498868523203e-14,1.7266575846157368e-14,1.6655565513020765,0.5478873169519366
622.0,5.957324003606695,16.5,172.0,6.594447542938266e-14,1.9283760862814484e-14,1.6506349806241585,0.663175257706287
622.0,5.957324003606695,17.5,164.0,5.80215933501486e-14,1.555326077023244e-14,1.613887114225972,0.6446950276108829
622.0,5.957324003606695,18.5,188.0,5.859823449980457e-14,1.6903175033010603e-14,1.556914011715423,0.5765076184831829
622.0,5.957324003606695,19.5,180.0,5.0108170644722174e-14,1.7198394413438467e-14,1.4811843557757918,0.23251094585205379
622.0,5.957324003606695,20.5,200.0,5.5448966309888346e-14,1.7861465810303918e-14,1.5373813546464814,0.24935271625204192
622.0,5.957324003606695,21.5,204.0,5.4492405263146295e-14,1.9370356025669972e-14,1.552038775732573,0.16472763413932953
622.0,5.957324003606695,22.5,196.0,5.173427692600735e-14,1.8539715401423304e-14,1.5680014495371657,0.09182606999913523
622.0,5.957324003606695,23.5,228.0,5.5708196344931305e-14,2.290087528821614e-14,1.5585456634637918,-0.022848849474327
622.0,5.957324003606695,24.5,252.0,6.411736422752287e-14,1.8571405290027346e-14,1.6734849054455085,0.024929038552868106
622.0,5.957324003606695,25.5,252.0,6.44494624041586e-14,1.5003749070172102e-14,1.7323791098957206,0.0676345507454163
622.0,5.957324003606695,26.5,244.0,6.179538164917298e-14,1.2898048092962894e-14,1.786033741953464,0.13886818670256496
622.0,5.957324003606695,27.5,260.0,6.048212478547887e-14,1.2840481668154738e-14,1.8016625409874951,0.23606075207513952
622.0,5.957324003606695,28.5,280.0,6.46126612557972e-14,9.634300118856817e-15,1.885388586789844,0.45025857554000603
622.0,5.957324003606695,29.5,300.0,6.81865956165381e-14,7.818570022916814e-15,1.958755645859023,0.9098244035090307
622.0,5.957324003606695,30.5,284.0,6.251087811215329e-14,6.923339459950837e-15,1.998404884327199,1.287900198550297
622.0,5.957324003606695,31.5,292.0,5.456805269386263e-14,5.321717761403892e-15,1.9978102176453112,1.8734985410141602
622.0,5.957324003606695,32.5,316.0,5.870682630054828e-14,8.516333902395545e-15,2.0917858607790554,2.244055792369157
622.0,5.957324003606695,33.5,324.0,5.921209409782487e-14,1.2669243240859436e-14,2.16775185063187,2.4381800214656346
622.0,5.957324003606695,34.5,324.0,5.778373119823033e-14,1.6949344390969793e-14,2.2096724135620835,2.485186146974377
622.0,5.957324003606695,35.5,348.0,5.565576792880603e-14,2.2473006691153852e-14,2.226254745841121,2.5852885260839957
622.0,5.957324003606695,36.5,352.0,5.5221717320912116e-14,2.5755653445597863e-14,2.2555839665574093,2.556668143709534
622.0,5.957324003606695,37.5,372.0,5.805443501523781e-14,2.9445923026917643e-14,2.2821457917703034,2.5249390070230686
622.0,5.957324003606695,38.5,372.0,5.5300157886798257e-14,3.2966029397904854e-14,2.3135793087878826,2.5014677750276437
622.0,5.957324003606695,39.5,340.0,4.621710247381892e-14,3.243152691343817e-14,2.3783089481449013,2.5359940323223564
624.0,5.9365639909968575,0.5,4.0,5.4569219802588876e-15,1.331275912037174e-15,2.047286661095359,-1.5707963267948966
624.0,5.9365639909968575,1.5,12.0,2.8381694827230155e-14,1.518620745002735e-15,2.3559615350186616,-0.9792523563956311
624.0,5.9365639909968575,2.5,28.0,7.433894307968043e-14,5.897200099969694e-15,2.4210108124216667,2.362729352987882
624.0,5.9365639909968575,3.5,36.0,9.03328702652229e-14,1.1766959376706772e-14,2.3242465826400154,1.8972430083516953
624.0,5.9365639909968575,4.5,40.0,8.582854598769341e-14,8.420205356002234e-15,2.3203778718511185,1.4097264227098498
624.0,5.9365639909968575,5.5,52.0,9.32067871128288e-14,1.1702029658094542e-14,2.319413032182569,1.3349719325017806
624.0,5.9365639909968575,6.5,68.0,9.121548182912795e-14,1.0417447565164803e-14,2.241713034593419,1.2998140294794693
624.0,5.9365639909968575,7.5,68.0,7.288759533229467e-14,1.0340934874309163e-14,2.1858442120613466,1.515171552198875
624.0,5.9365639909968575,8.5,84.0,7.780565741077815e-14,1.3898999595225003e-14,2.117680618294443,1.470889343860854
624.0,5.9365639909968575,9.5,92.0,7.117922589984968e-14,1.616702973601889e-14,2.071453051438876,1.3460644195691946
624.0,5.9365639909968575,10.5,100.0,6.476370810169729e-14,1.2644480469679984e-14,1.9732893669258231,1.2813668962627394
624.0,5.9365639909968575,11.5,108.0,5.533734140964774e-14,1.1867326258695197e-14,1.902997141492127,1.3223387545256364
624.0,5.9365639909968575,12.5,120.0,5.162061928749083e-14,1.295376779189169e-14,1.786209321990034,1.4546570208883731
624.0,5.9365639909968575,13.5,124.0,4.731114949275006e-14,1.4885381056586026e-14,1.6821149230402408,1.430051697597385
624.0,5.9365639909968575,14.5,156.0,5.500964008207541e-14,1.47081354794841e-14,1.5003747763616953,1.53427440879698
624.0,5.9365639909968575,15.5,132.0,4.229494024906595e-14,1.0343595059038386e-14,1.3620844370079634,1.47773492888399
624.0,5.9365639909968575,16.5,172.0,5.744194347914512e-14,1.2883525785991143e-14,1.3379186251140731,1.1707925168445505
624.0,5.9365639909968575,17.5,164.0,5.3429872501749435e-14,1.1525407821055483e-14,1.3398283714965058,0.9622545700719892
624.0,5.9365639909968575,18.5,188.0,5.6535253018338303e-14,1.215716049869449e-14,1.3550025722738848,0.8795353908108989
624.0,5.9365639909968575,19.5,180.0,4.960642508544112e-14,1.1073081042914138e-14,1.3029740842779163,0.3736646202968782
624.0,5.9365639909968575,20.5,200.0,5.695410463585903e-14,1.2185823090866902e-14,1.4080155012260414,0.15044642729906285
624.0,5.9365639909968575,21.5,204.0,5.746265698608549e-14,1.2919618241714724e-14,1.431555615370412,-0.06812610467837811
624.0,5.9365639909968575,22.5,196.0,5.3403331105920156e-14,1.2586854465673338e-14,1.420249130471809,-0.07390696342097974
624.0,5.9365639909968575,23.5,228.0,5.756986794016389e-14,1.6305046394792673e-14,1.407176608876107,-0.1871247820658405
