snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,amp5
622.0,5.957324,7.5,118630.0,115410.59,886075.25,113903.445,150450.9,41202.348,83080.01
622.0,5.957324,8.5,121178.0,108253.164,807884.0,164061.4,145408.19,4831.5186,61107.35
622.0,5.957324,9.5,123189.0,150720.62,774893.44,129552.04,101005.05,100257.4,122091.805
622.0,5.957324,10.5,119433.0,17555.92,346814.06,65043.438,42341.766,148462.77,30930.137
622.0,5.957324,11.5,112568.0,61577.215,341830.53,113495.42,148878.61,20098.686,152033.62
622.0,5.957324,12.5,102124.0,94742.42,293506.06,71226.805,181911.34,193613.12,194587.98
622.0,5.957324,13.5,97093.0,38927.066,712467.4,297478.06,100748.3,127141.74,148097.14
622.0,5.957324,14.5,84006.0,124726.78,832801.5,418862.28,188388.67,103075.48,52184.57
622.0,5.957324,15.5,68607.0,147892.86,708249.8,371225.44,168146.31,127427.36,128948.71
622.0,5.957324,16.5,56339.0,117211.71,584154.5,386598.6,271588.12,59017.484,95119.63
622.0,5.957324,17.5,41598.0,103055.73,590618.8,278153.97,186203.38,215041.14,57651.02
622.0,5.957324,18.5,28364.0,165965.75,580795.9,211784.56,138596.05,187393.34,49521.668
622.0,5.957324,19.5,19001.0,156685.4,422411.1,154907.44,116184.69,198880.4,118395.2
622.0,5.957324,20.5,12378.0,106370.414,252090.4,90353.96,73315.9,160249.08,83251.24
622.0,5.957324,21.5,7231.0,70459.42,157622.72,44351.41,45514.355,82666.54,64135.8
624.0,5.936564,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624.0,5.936564,1.5,70277.0,206399.12,668690.75,117426.05,228528.8,98411.17,46973.6
624.0,5.936564,2.5,73282.0,93175.12,253373.14,117895.28,107306.63,60036.094,98954.31
624.0,5.936564,3.5,74717.0,19329.344,109524.695,73201.875,24073.316,66371.766,19913.395
624.0,5.936564,4.5,95540.0,59301.094,478487.78,49736.29,48378.33,26563.77,44227.26
624.0,5.936564,5.5,120373.0,86461.93,800594.7,49311.4,117936.66,56621.86,94262.555
624.0,5.936564,6.5,122171.0,16730.695,723734.3,70854.28,44487.133,65253.062,58593.01
624.0,5.936564,7.5,116608.0,16824.97,740891.44,74393.086,148116.44,61219.652,24703.537
624.0,5.936564,8.5,120648.0,137900.34,821711.9,147762.12,209807.06,87376.29,115553.695
624.0,5.936564,9.5,121601.0,152529.64,634864.56,151499.89,188473.25,151667.3,164856.5
624.0,5.936564,10.5,119779.0,117322.27,279909.84,65592.4,46904.17,142850.92,88183.91
624.0,5.936564,11.5,112216.0,107335.05,392186.6,122681.23,168987.42,159545.83,49454.74
624.0,5.936564,12.5,102302.0,127073.7,281501.22,73724.04,134286.9,46214.19,174748.55
624.0,5.936564,13.5,93191.0,57570.574,521273.22,184217.39,230580.2,88614.61,94022.6
624.0,5.936564,14.5,86135.0,53056.316,823662.5,385036.1,97979.22,159818.58,69075.664
624.0,5.936564,15.5,71075.0,128800.61,800905.7,442378.44,187669.31,287305.47,59947.637
624.0,5.936564,16.5,56629.0,94554.266,588756.06,344461.16,269225.0,67869.336,71681.98
624.0,5.936564,17.5,43734.0,88966.16,580745.5,362298.03,296312.34,191206.73,60218.6
624.0,5.936564,18.5,29243.0,131568.44,490147.0,275497.8,201262.03,182014.23,44564.125
624.0,5.936564,19.5,18818.0,139091.47,424986.78,237261.89,159654.1,172935.5,116735.29
624.0,5.936564,20.5,12404.0,116143.74,255380.75,106006.02,92085.086,166913.75,97403.22
624.0,5.936564,21.5,7756.0,57853.375,131097.02,41913.78,28477.998,73268.42,45495.51
626.0,5.8948116,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626.0,5.8948116,1.5,70551.0,166601.83,582135.94,65696.734,164948.03,50797.38,12406.468
626.0,5.8948116,2.5,72938.0,119958.48,116932.25,47995.47,87644.21,48567.348,36828.13
626.0,5.8948116,3.5,73906.0,76665.89,104373.9,21754.441,84109.695,45880.54,48862.008
626.0,5.8948116,4.5,92350.0,48875.914,327541.38,47300.484,31815.861,59410.13,45492.586
626.0,5.8948116,5.5,120282.0,30885.793,720414.7,72282.695,71547.66,17476.13,15367.718
626.0,5.8948116,6.5,127386.0,25794.182,832732.9,153518.88,24250.11,65848.25,44191.6
626.0,5.8948116,7.5,121106.0,64454.535,839921.1,136163.98,88844.125,64905.625,21729.896
626.0,5.8948116,8.5,122833.0,58679.676,738433.7,194906.89,237073.48,64118.86,46381.82
626.0,5.8948116,9.5,117239.0,148298.03,619044.94,22182.834,129629.31,78068.445,23850.393
