snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,amp5
626.0,5.8948116,11.5,110591.0,3228.8193,15948.982,16300.703,4893.8335,3319.8708,2562.369
626.0,5.8948116,12.5,98656.0,2681.9736,19457.445,13488.032,12323.668,6936.63,3631.9514
626.0,5.8948116,13.5,94434.0,951.7032,41114.234,7519.38,13767.084,3893.1887,12220.396
626.0,5.8948116,14.5,85123.0,3276.412,56967.67,16050.455,5998.8594,8271.185,8304.025
626.0,5.8948116,15.5,72811.0,3175.6914,49635.676,24034.031,9670.734,5534.403,4131.8755
626.0,5.8948116,16.5,58548.0,406.90912,47451.47,17787.848,8988.907,10611.7705,5005.156
626.0,5.8948116,17.5,44819.0,6450.497,55269.418,19917.137,7990.6445,3662.1206,8768.158
626.0,5.8948116,18.5,31956.0,3980.7876,42333.848,31241.646,12914.184,8146.7188,10717.786
626.0,5.8948116,19.5,20445.0,2754.3308,30621.756,24824.604,11793.674,10568.881,4966.226
626.0,5.8948116,20.5,12976.0,3903.475,20522.705,16213.172,9480.581,9571.843,4723.1875
626.0,5.8948116,21.5,7363.0,4694.2993,13080.626,11999.42,7450.7793,5086.9214,3151.992
629.0,5.8527274,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629.0,5.8527274,1.5,71882.0,1452.7637,977.26373,1041.1151,333.5803,627.7765,195.28731
629.0,5.8527274,2.5,72602.0,2437.4348,3507.4233,1382.5427,92.66482,345.51834,1417.4207
629.0,5.8527274,3.5,75202.0,2395.5505,5822.2485,855.81244,795.8856,791.7732,638.4015
629.0,5.8527274,4.5,89868.0,2733.5994,8560.381,2023.6436,472.34244,60.83056,419.47144
629.0,5.8527274,5.5,117688.0,2229.6194,13541.163,1701.5366,135.57417,1739.661,505.82288
629.0,5.8527274,6.5,125786.0,3377.4207,22026.31,799.25366,2706.0833,402.7216,988.48517
629.0,5.8527274,7.5,121551.0,3808.4858,27094.398,4078.5508,1557.9713,4133.6343,571.50995
629.0,5.8527274,8.5,121251.0,1732.5975,26174.404,5375.9326,1236.7462,2535.034,1467.6459
629.0,5.8527274,9.5,122701.0,223.52164,17101.484,11143.986,1835.8119,7587.4067,3027.3555
629.0,5.8527274,10.5,117505.0,2477.9023,15734.754,10706.358,3640.2139,8418.678,5562.2305
